MeanReturn, Timesteps, Time, StdReturn, MaxReturn, MinReturn, EpLenMean, EpLenStd, Exploration
4.97, 1550000, 16/06/2019 11:19:04, 6.244125238974632, 18.0, -12.0, 12525.41, 1643.5212203984468, 0.09656250000000001
5.23, 1560000, 16/06/2019 11:33:26, 5.924280547036914, 18.0, -10.0, 12551.58, 1642.9886924747836, 0.0965
5.56, 1570000, 16/06/2019 11:48:36, 5.891213796833383, 18.0, -10.0, 12457.41, 1647.777157840222, 0.09643750000000001
5.91, 1580000, 16/06/2019 12:09:40, 5.841395381242396, 18.0, -10.0, 12396.86, 1679.3062616449688, 0.096375
6.4, 1590000, 16/06/2019 12:29:45, 5.592852581643825, 18.0, -10.0, 12343.4, 1724.4026559942427, 0.09631250000000001
6.98, 1600000, 16/06/2019 12:54:25, 5.423983775786944, 18.0, -10.0, 12208.88, 1787.9500623898869, 0.09625
7.4, 1610000, 16/06/2019 13:13:42, 5.533534132902769, 20.0, -10.0, 12094.26, 1834.264913364479, 0.09618750000000001
7.86, 1620000, 16/06/2019 13:35:15, 5.2896502719934135, 20.0, -10.0, 12002.04, 1844.2932517362851, 0.096125
8.11, 1630000, 16/06/2019 13:56:35, 5.343959206431127, 20.0, -10.0, 11908.53, 1873.5247554008993, 0.09606250000000001
8.33, 1640000, 16/06/2019 14:21:05, 5.416742563570841, 20.0, -10.0, 11843.01, 1882.5492529811804, 0.096
8.51, 1650000, 16/06/2019 14:42:40, 5.470822607250212, 20.0, -10.0, 11768.12, 1911.335047970397, 0.09593750000000001
8.56, 1660000, 16/06/2019 15:02:45, 5.497854126838943, 20.0, -10.0, 11745.5, 1931.8508767500664, 0.095875
8.63, 1670000, 16/06/2019 15:21:31, 5.5671446900543184, 20.0, -10.0, 11697.68, 1955.6906088642957, 0.09581250000000001
8.9, 1680000, 16/06/2019 15:39:27, 5.441507144165117, 20.0, -10.0, 11605.52, 1923.6541294110018, 0.09575
9.08, 1690000, 16/06/2019 15:57:27, 5.485763392637346, 20.0, -10.0, 11523.67, 1899.8500154222702, 0.09568750000000001
9.44, 1700000, 16/06/2019 16:15:25, 5.4650160109555035, 20.0, -10.0, 11388.09, 1843.2435980900625, 0.095625
9.68, 1710000, 16/06/2019 16:43:41, 5.345802091361033, 20.0, -10.0, 11340.21, 1792.0596323504417, 0.09556250000000001
10.13, 1720000, 16/06/2019 17:14:14, 5.235752094971649, 20.0, -10.0, 11206.91, 1784.2058350706063, 0.0955
10.36, 1730000, 16/06/2019 17:44:12, 5.1798069462094825, 20.0, -10.0, 11135.59, 1766.4787182131577, 0.09543750000000001
10.7, 1740000, 16/06/2019 18:20:13, 5.173973328110612, 20.0, -10.0, 11043.7, 1723.8624452084337, 0.095375
10.89, 1750000, 16/06/2019 19:00:02, 4.9757311020592745, 20.0, -10.0, 11030.74, 1738.0659056549034, 0.09531250000000001
10.82, 1760000, 16/06/2019 19:31:52, 5.014738278315231, 20.0, -10.0, 11066.73, 1789.5461874732375, 0.09525
11.03, 1770000, 16/06/2019 20:03:14, 4.767504588356471, 20.0, -10.0, 11051.69, 1795.6569755663245, 0.09518750000000001
11.14, 1780000, 16/06/2019 20:35:58, 4.8394627801027665, 20.0, -10.0, 11009.58, 1824.0490354154408, 0.095125
11.74, 1790000, 16/06/2019 21:08:17, 4.786689879238052, 20.0, -10.0, 10759.95, 1754.487705143584, 0.09506250000000001
11.98, 1800000, 16/06/2019 21:40:07, 4.802041232642636, 20.0, -10.0, 10657.83, 1731.1737466528307, 0.095
12.73, 1810000, 16/06/2019 22:17:47, 4.211543659989767, 20.0, -1.0, 10454.94, 1763.517795884124, 0.09493750000000001
13.11, 1820000, 16/06/2019 22:50:36, 3.825950862204061, 20.0, 4.0, 10343.6, 1706.1506557159598, 0.094875
